"","area","treatment","habitat","period","year","sites","all_rich","ept_rich","perc_dom","dom_taxa","avg_tol","perc_scraper","perc_predator","perc_filter","perc_gather","perc_other"
"1","Lake Tallac","Control","near-shore","Before",2022,"20",22,1,0.238805970149254,"Caenis",6.85931558935361,0.0111940298507463,0.369402985074627,0.104477611940299,0.511194029850746,0.00373134328358209
"2","Lake Tallac","Control","near-shore","After",2023,"20",17,1,0.431192660550459,"Caenis",6.76470588235294,0,0.119266055045872,0.18348623853211,0.660550458715596,0.036697247706422
"3","Lake Tallac","Control","near-shore","After",2024,"20",24,3,0.327702702702703,"Oligochaeta",6.82601351351351,0.00675675675675676,0.197635135135135,0.119932432432432,0.662162162162162,0.0135135135135135
"4","Lake Tallac","Control","mid-channel","Before",2022,"20",3,0,0.5,"Ablabesmyia",7.75,0,0.5,0,0.5,0
"5","Lake Tallac","Control","mid-channel","After",2023,"20",3,1,0.652173913043478,"Ablabesmyia",7.78260869565217,0,0.695652173913044,0,0.304347826086957,0
"6","Lake Tallac","Control","mid-channel","After",2024,"20",4,0,0.444444444444444,"Oligochaeta",7.33333333333333,0,0.333333333333333,0.111111111111111,0.555555555555556,0
"7","Lake Tallac","Endothall","near-shore","Before",2022,"19",20,1,0.176100628930818,"Tanytarsus",6.72955974842767,0.0188679245283019,0.345911949685535,0.176100628930818,0.455974842767296,0.00314465408805031
"8","Lake Tallac","Endothall","near-shore","After",2023,"19",20,1,0.35632183908046,"Oligochaeta",6.25287356321839,0.0114942528735632,0.0919540229885057,0.218390804597701,0.563218390804598,0.114942528735632
"9","Lake Tallac","Endothall","near-shore","After",2024,"19",21,2,0.261061946902655,"Coenagrionidae",7.86160714285714,0.00884955752212389,0.345132743362832,0.128318584070796,0.504424778761062,0.0132743362831858
"10","Lake Tallac","Endothall","mid-channel","Before",2022,"19",4,0,0.571428571428571,"Ablabesmyia",7.5,0,0.571428571428571,0,0.428571428571429,0
"11","Lake Tallac","Endothall","mid-channel","After",2023,"19",4,0,0.25,"c(""Parachironomus"", ""Paratanytarsus"", ""Ostracoda"", ""Oligochaeta"")",7.25,0,0.25,0.25,0.5,0
"12","Lake Tallac","Endothall","mid-channel","After",2024,"19",8,0,0.729166666666667,"Oligochaeta",5.95833333333333,0,0.0625,0.0208333333333333,0.916666666666667,0
"13","Lake Tallac","LFA","near-shore","Before",2022,"27",31,4,0.182380216383308,"Chironomus",7.4328125,0.123647604327666,0.255023183925811,0.0386398763523957,0.539412673879444,0.0432766615146832
"14","Lake Tallac","LFA","near-shore","After",2023,"27",33,3,0.165912518853695,"Dicrotendipes",7.26171243941842,0.0120663650075415,0.340120663650075,0.14027149321267,0.482654600301659,0.0248868778280543
"15","Lake Tallac","LFA","near-shore","After",2024,"27",38,7,0.165495079333199,"Micropsectra",7.0132970027248,0.0536252259489857,0.220024101225146,0.10353484635469,0.607250451897971,0.0155653745732075
"16","Lake Tallac","LFA","mid-channel","Before",2022,"27",9,0,0.189189189189189,"c(""Parachironomus"", ""Ostracoda"")",7.91428571428571,0,0.432432432432432,0.135135135135135,0.405405405405405,0.027027027027027
"17","Lake Tallac","LFA","mid-channel","After",2023,"27",7,0,0.28125,"Tanytarsus",7.84375,0,0.375,0.28125,0.34375,0
"18","Lake Tallac","LFA","mid-channel","After",2024,"27",15,0,0.157894736842105,"Ostracoda",7.60526315789474,0,0.263157894736842,0.0789473684210526,0.631578947368421,0.0263157894736842
"19","West Lagoon","Control","near-shore","Before",2022,"c(16, 17, 18)",30,5,0.120450033090668,"Hyalella",7.2971160295104,0.0132362673726009,0.273328921244209,0.225678358702846,0.383189940436797,0.104566512243547
"20","West Lagoon","Control","near-shore","After",2023,"c(16, 17, 18)",23,1,0.167630057803468,"Ostracoda",7.19298245614035,0.0115606936416185,0.092485549132948,0.225433526011561,0.456647398843931,0.213872832369942
"21","West Lagoon","Control","near-shore","After",2024,"c(16, 17, 18)",40,7,0.226481376246319,"Micropsectra",6.86188091263216,0.00955726610528491,0.144443870434468,0.0719119698300356,0.670713436999535,0.103373456630676
"22","West Lagoon","Control","mid-channel","Before",2022,"c(16, 17, 18)",10,0,0.25,"Nemata",6.35714285714286,0.0357142857142857,0.178571428571429,0.142857142857143,0.25,0.392857142857143
"23","West Lagoon","Control","mid-channel","After",2023,"c(16, 17, 18)",8,0,0.172413793103448,"Oligochaeta",7.93103448275862,0.103448275862069,0.310344827586207,0,0.551724137931034,0.0344827586206897
"24","West Lagoon","Control","mid-channel","After",2024,"c(16, 17, 18)",10,0,0.230769230769231,"Oligochaeta",7.31372549019608,0,0.0384615384615385,0.0192307692307692,0.846153846153846,0.0961538461538462
